alloc-testN strictsegpt-16 0:09.84 19584 107.58 0.12 0 4428
Command terminated by signal 9
alloc-testN segpt-16 0:09.95 7379608 21.20 14.71 68 1845411
alloc-testN sys   0:09.31 16680 103.11 0.12 17 3744
alloc-testN mi    0:09.14 16680 98.25 0.11 0 3749
Command terminated by signal 2
sh6benchN   strictseglockedcustom 0:36.08 203652 44.94 377.05 1 53617
sh6benchN   strictsegptcustom 0:00.95 714824 5.68 0.62 1 178235
Command terminated by signal 2
sh6benchN   strictseglocked-16 0:01.31 9280 1.71 11.84 1 2137
sh6benchN   strictsegpt-16 0:00.64 533032 3.58 0.45 1 132841
Command terminated by signal 9
sh6benchN   segpt-16 0:16.63 7425804 3.74 21.80 177 1857118
sh6benchN   sys   0:00.93 337936 9.87 0.37 1 84451
sh6benchN   mi    0:00.98 337936 10.70 0.43 0 84454
Command terminated by signal 6
sh8benchN   strictseglockedcustom 0:01.27 164116 0.48 4.68 12 42939
Command terminated by signal 6
sh8benchN   strictsegptcustom 0:00.65 110444 0.02 0.21 1 20634
Command terminated by signal 2
sh8benchN   strictseglocked-16 0:06.93 150488 8.51 69.75 1 34741
sh8benchN   strictsegpt-16 0:02.03 648524 20.36 0.59 2 157269
Command terminated by signal 9
sh8benchN   segpt-16 0:26.47 7452084 4.52 30.89 384 1857710
sh8benchN   sys   0:04.00 252912 43.23 0.30 1 61295
sh8benchN   mi    0:03.93 302736 42.52 0.43 0 96060
xmalloc-testN strictseglockedcustom 0: 11592 6.16 50.60 11 2588
xmalloc-testN strictsegptcustom 0: 7430288 3.55 14.52 170 1857863
xmalloc-testN strictseglocked-16 0: 9360 6.27 49.91 19 2471
xmalloc-testN strictsegpt-16 0: 7442904 3.92 16.49 247 1860943
xmalloc-testN segpt-16 0: 7452844 4.31 14.86 267 1863518
xmalloc-testN sys   0:2.897 62356 54.31 0.70 2 47847
xmalloc-testN mi    0:2.880 64224 56.46 0.75 0 43724
cache-scratch1 strictseglockedcustom 0:01.26 3804 1.26 0.00 10 284
cache-scratch1 strictsegptcustom 0:00.94 3828 0.93 0.00 1 295
cache-scratch1 strictseglocked-16 0:00.86 3696 0.86 0.00 1 288
cache-scratch1 strictsegpt-16 0:00.87 3640 0.87 0.00 1 289
cache-scratch1 segpt-16 0:00.89 3692 0.88 0.00 1 280
